"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Xavier Sneed","Hazelwood Central (Florissant, MO)","6-5",190,89,162,32,3,"MO","SF",2016,"kansas-state","Commit",1
"James Love","American Heritage (Fort Lauderdale, FL)","6-10",205,82,NA,82,22,"FL","PF",2016,"kansas-state","Commit",1
"Cartier Diarra","West Florence (Florence, SC)","6-4",180,87,234,42,4,"SC","PG",2016,"kansas-state","Commit",1
"Nigel Shadd","Tri-city Christian Academy (Tempe, AZ)","6-8",230,87,NA,67,5,"AZ","PF",2017,"kansas-state","Commit",1
"Levi Stockard","Vashon (St. Louis, MO)","6-8",250,86,NA,85,3,"MO","PF",2017,"kansas-state","Commit",1
"Shaun Williams","Hazelwood Central (Florissant, MO)","6-1",170,89,208,34,7,"MO","PG",2018,"kansas-state","Commit",1
"Austin Trice","Wabash Valley College (Mount Carmel, IL)","6-7",230,80,14,3,1,"IL","PF",2018,"kansas-state","Commit",1
"DaJuan Gordon","Curie Metropolitan (Chicago, IL)","6-3",170,89,193,31,3,"IL","SG",2019,"kansas-state","Commit",1
"Montavious Murphy","Concordia Lutheran (Tomball, TX)","6-8",190,87,NA,72,27,"TX","C",2019,"kansas-state","Commit",2
"Goodnews Kpegeol","Taylor Made Basketball (Pensacola, FL)","6-6",180,87,NA,70,29,"FL","SG",2019,"kansas-state","Commit",2
"David Sloan","John Logan College (Carterville, IL)","6-0",200,80,45,5,3,"IL","PG",2019,"kansas-state","Commit",2
"Antonio Gordon","Eisenhower (Lawton, OK)","6-8",195,80,NA,91,4,"OK","PF",2019,"kansas-state","Commit",2
"Davion Bradford","Mehlville (St. Louis, MO)","7-0",250,89,197,40,6,"MO","PF",2020,"kansas-state","Commit",6
"Nijel Pack","Lawrence Central (Indianapolis, IN)","5-10",165,89,227,31,7,"IN","PG",2020,"kansas-state","Commit",6
"Selton Miguel","West Oaks Academy (Orlando, FL)","6-4",195,89,244,30,17,"FL","SF",2020,"kansas-state","Commit",6
"Luke Kasubke","Chaminade (St. Louis, MO)","6-5",185,89,246,32,7,"MO","SG",2020,"kansas-state","Commit",6
"Rudi Williams","Northeastern Oklahoma A&M (Miami, OK)","6-3",180,89,7,2,1,"OK","PG",2020,"kansas-state","Commit",6
"Carlton Linguard","Temple College (Temple, TX)","7-0",200,89,9,1,2,"TX","C",2020,"kansas-state","Commit",6
"Seryee Lewis","Compass Prep (Chandler, AZ)","6-9",205,88,NA,57,18,"AZ","PF",2020,"kansas-state","Commit",1
"Logan Landers","Cedarburg (Cedarburg, WI)","6-10",230,86,NA,37,6,"WI","C",2021,"kansas-state","Commit",1
"Taj Manning","La Lumiere School (La Porte, IN)","6-6",205,89,180,37,6,"IN","PF",2022,"kansas-state","Commit",2
"Nae'Qwan Tomlin","Chipola College (Marianna, FL)","6-9",195,89,4,1,1,"FL","SF",2022,"kansas-state","Commit",2
"Dorian Finister","Carver (New Orleans, LA)","6-5",180,87,236,33,2,"LA","PG",2022,"kansas-state","Commit",3
"Keyontae Johnson",NA,"6-5",190,88,NA,NA,NA,NA,"SF",2022,"kansas-state","Transfer",1
"David N'Guessan",NA,"6-8",195,87,NA,NA,NA,NA,"PF",2022,"kansas-state","Transfer",3
"Jerrell Colbert",NA,"6-9",210,87,NA,NA,NA,NA,"C",2022,"kansas-state","Transfer",3
"Dai Dai Ames","Kenwood Academy (Chicago, IL)","6-1",160,92,83,13,2,"IL","PG",2023,"kansas-state","Commit",2
"RJ Jones","Wasatch Academy (Mount Pleasant, UT)","6-3",175,91,98,17,1,"UT","CG",2023,"kansas-state","Commit",1
"Macaleab Rich","East St. Louis (East St. Louis, IL)","6-6",210,90,106,24,4,"IL","SF",2023,"kansas-state","Commit",1
"Arthur Kaluma",NA,"6-8",205,94,NA,NA,NA,NA,"PF",2023,"kansas-state","Transfer",1
"Tylor Perry",NA,"5-11",182,92,NA,NA,NA,NA,"PG",2023,"kansas-state","Transfer",2
"David Castillo","Sunrise Christian Academy (Bel Aire, KS)","6-1",180,93,55,8,1,"KS","PG",2024,"kansas-state","Commit",2
"Chimobi Ikegwuruka","Ellsworth C.C. (Iowa Falls, IA)","6-6",200,85,5,2,1,"IA","SF",2024,"kansas-state","Commit",1
"Coleman Hawkins",NA,"6-10",230,96,NA,NA,NA,NA,"PF",2024,"kansas-state","Transfer",1
"Ugonna Onyenso",NA,"7-0",233,91,NA,NA,NA,NA,"C",2024,"kansas-state","Transfer",3
"Achor Achor",NA,"6-9",225,93,NA,NA,NA,NA,"PF",2024,"kansas-state","Transfer",2
"Max Jones",NA,"6-4",210,88,NA,NA,NA,NA,"SG",2024,"kansas-state","Transfer",1
"Baye Fall",NA,"6-11",200,91,NA,NA,NA,NA,"C",2024,"kansas-state","Transfer",3
"Brendan Hausen",NA,"6-4",180,91,NA,NA,NA,NA,"SG",2024,"kansas-state","Transfer",3
"CJ Jones",NA,"6-5",195,86,NA,NA,NA,NA,"CG",2024,"kansas-state","Transfer",1
"Dug McDaniel",NA,"5-11",175,94,NA,NA,NA,NA,"PG",2024,"kansas-state","Transfer",1
"Exavier Wilson","Father Tolton (Columbia, MO)","6-1",165,87,NA,34,10,"MO","PG",2025,"kansas-state","Commit",2
"Stephen Osei","Casper College (Casper, WY)","6-10",210,87,NA,NA,NA,"WY","C",2025,"kansas-state","Commit",2
"PJ Haggerty",NA,"6-3",191,99,NA,NA,NA,NA,"PG",2025,"kansas-state","Transfer",1
"Nate Johnson",NA,"6-3",205,95,NA,NA,NA,NA,"SG",2025,"kansas-state","Transfer",1
"Khamari McGriff",NA,"6-9",210,88,NA,NA,NA,NA,"PF",2025,"kansas-state","Transfer",1
"Abdi Bashir Jr.",NA,"6-7",160,94,NA,NA,NA,NA,"SG",2025,"kansas-state","Transfer",1
"Tyreek Smith",NA,"6-8",225,91,NA,NA,NA,NA,"PF",2025,"kansas-state","Transfer",1
